date,name,region,type
2026-01-01,New Year's Day,ALL,Public Holiday
2026-01-26,Republic Day,India,National Holiday
2026-03-10,Maha Shivaratri,India,Gazetted Holiday
2026-03-31,Holi,India,Gazetted Holiday
2026-04-03,Good Friday,ALL,Public Holiday
2026-04-06,Easter Monday,UK,Bank Holiday
2026-04-14,Ambedkar Jayanti,India,Gazetted Holiday
2026-05-01,May Day / Labour Day,India,Gazetted Holiday
2026-05-04,Early May Bank Holiday,UK,Bank Holiday
2026-05-25,Memorial Day,USA_EST,Federal Holiday
2026-05-25,Spring Bank Holiday,UK,Bank Holiday
2026-06-19,Juneteenth,USA_EST,Federal Holiday
2026-07-04,Independence Day,USA_EST,Federal Holiday
2026-07-07,Rath Yatra,India,Gazetted Holiday
2026-08-15,Independence Day,India,National Holiday
2026-08-31,Summer Bank Holiday,UK,Bank Holiday
2026-09-07,Labor Day,USA_EST,Federal Holiday
2026-10-02,Gandhi Jayanti,India,National Holiday
2026-10-12,Columbus Day,USA_EST,Federal Holiday
2026-10-20,Dussehra,India,Gazetted Holiday
2026-11-09,Diwali,India,Gazetted Holiday
2026-11-11,Veterans Day,USA_EST,Federal Holiday
2026-11-12,Guru Nanak Jayanti,India,Gazetted Holiday
2026-11-26,Thanksgiving Day,USA_EST,Federal Holiday
2026-12-25,Christmas Day,ALL,Public Holiday
2026-12-26,Boxing Day,UK,Bank Holiday
2026-12-28,Boxing Day (observed),UK,Bank Holiday
2027-01-01,New Year's Day,ALL,Public Holiday
2027-01-18,Martin Luther King Jr. Day,USA_EST,Federal Holiday
2027-01-26,Republic Day,India,National Holiday
2027-02-16,Presidents' Day,USA_EST,Federal Holiday
2027-03-17,Holi,India,Gazetted Holiday
2027-04-02,Good Friday,ALL,Public Holiday
2027-04-05,Easter Monday,UK,Bank Holiday
2027-05-03,Early May Bank Holiday,UK,Bank Holiday
2027-05-25,Spring Bank Holiday,UK,Bank Holiday
2027-05-31,Memorial Day,USA_EST,Federal Holiday
2027-06-18,Juneteenth (observed),USA_EST,Federal Holiday
2027-07-05,Independence Day (observed),USA_EST,Federal Holiday
2027-08-15,Independence Day,India,National Holiday
2027-08-30,Summer Bank Holiday,UK,Bank Holiday
2027-09-06,Labor Day,USA_EST,Federal Holiday
2027-10-02,Gandhi Jayanti,India,National Holiday
2027-10-11,Columbus Day,USA_EST,Federal Holiday
2027-10-11,Dussehra,India,Gazetted Holiday
2027-10-29,Diwali,India,Gazetted Holiday
2027-11-11,Veterans Day,USA_EST,Federal Holiday
2027-11-25,Thanksgiving Day,USA_EST,Federal Holiday
2027-12-25,Christmas Day,ALL,Public Holiday
2027-12-27,Boxing Day (observed),UK,Bank Holiday
